Wall time,Step,Value
1678835815.137655,0,-1.0656458139419556
1678835815.2921534,1,-1.0656458139419556
1678835815.4350288,2,-1.0656458139419556
1678835815.584453,3,-1.0656458139419556
1678835815.7523346,4,-1.0656458139419556
1678835815.9106011,5,-1.0656458139419556
1678835816.1535475,6,-1.0656455755233765
1678835816.3660636,7,-1.0656447410583496
1678835816.5906215,8,-1.0656440258026123
1678835816.8232741,9,-1.065643072128296
1678835817.0651474,10,-1.0656421184539795
1678835817.310772,11,-1.065641164779663
1678835817.548232,12,-1.065640926361084
1678835817.8029716,13,-1.065640926361084
1678835818.0564559,14,-1.065640926361084
1678835818.318734,15,-1.065640926361084
1678835818.5781024,16,-1.065640926361084
1678835818.8019345,17,-1.065640926361084
1678835818.958975,18,-1.065640926361084
1678835819.0963335,19,-1.0656766891479492
1678835819.2359,20,-1.065405011177063
1678835819.364518,21,-1.0640236139297485
1678835819.5162325,22,-1.0606319904327393
1678835819.635044,23,-1.0547525882720947
1678835819.7640123,24,-1.0462243556976318
1678835819.9095623,25,-1.0351874828338623
1678835820.041022,26,-1.0219757556915283
1678835820.190249,27,-1.0070178508758545
1678835820.332154,28,-0.9907699823379517
1678835820.4881818,29,-0.97364741563797
1678835820.6222453,30,-0.9560038447380066
1678835820.759069,31,-0.9380986094474792
1678835820.887597,32,-0.92011559009552
1678835821.0145657,33,-0.9021536707878113
1678835821.144185,34,-0.8842560648918152
1678835821.2857728,35,-0.8664191365242004
1678835821.430653,36,-0.8486106991767883
1678835821.5983384,37,-0.8307873606681824
1678835821.770233,38,-0.8129000663757324
1678835821.9341397,39,-0.7949093580245972
1678835822.1091013,40,-0.7767819166183472
1678835822.3023517,41,-0.7584995031356812
1678835822.4721172,42,-0.7400529980659485
1678835822.6345344,43,-0.7214455604553223
1678835822.8816373,44,-0.702686071395874
1678835823.0077116,45,-0.6837894320487976
1678835823.1548076,46,-0.664772629737854
1678835823.2888105,47,-0.6456533670425415
1678835823.4348214,48,-0.6264481544494629
1678835823.5800653,49,-0.6071717739105225
1678835823.7283473,50,-0.5878362059593201
1678835823.9045687,51,-0.5684510469436646
1678835824.054167,52,-0.5490233898162842
1678835824.2184525,53,-0.5295584201812744
1678835824.369158,54,-0.5100597143173218
1678835824.5336637,55,-0.49052971601486206
1678835824.6964493,56,-0.470970094203949
1678835824.8670895,57,-0.4513823091983795
1678835825.104616,58,-0.4317675232887268
1678835825.327279,59,-0.41212695837020874
1678835825.51131,60,-0.3924620747566223
1678835825.6920962,61,-0.37277430295944214
1678835825.890388,62,-0.3530653119087219
1678835826.09378,63,-0.333336740732193
1678835826.2980716,64,-0.31359022855758667
1678835826.4934065,65,-0.2938275635242462
1678835826.6933503,66,-0.2740502655506134
1678835826.9797642,67,-0.25425997376441956
1678835827.3059657,68,-0.23445788025856018
1678835827.556202,69,-0.21464522182941437
1678835827.826567,70,-0.19482307136058807
1678835828.0484982,71,-0.17499230802059174
1678835828.1988945,72,-0.15515373647212982
1678835828.353493,73,-0.13530807197093964
1678835828.5110233,74,-0.11545592546463013
1678835828.6745076,75,-0.09559783339500427
1678835828.8377218,76,-0.07573426514863968
1678835828.9962938,77,-0.05586567521095276
1678835829.1542053,78,-0.03599241375923157
1678835829.311607,79,-0.0161125510931015
1678835829.4698675,80,0.003756540361791849
1678835829.6603475,81,0.02352544106543064
1678835829.8647237,82,0.042982317507267
1678835830.062761,83,0.061996202915906906
1678835830.2098944,84,0.08060064166784286
1678835830.354544,85,0.09886519610881805
1678835830.503118,86,0.11679383367300034
1678835830.6320248,87,0.1343381404876709
1678835830.759681,88,0.15140482783317566
1678835830.883583,89,0.16790595650672913
1678835831.0271428,90,0.1837584674358368
1678835831.1961613,91,0.19892756640911102
1678835831.345627,92,0.21340756118297577
1678835831.5046554,93,0.2272293120622635
1678835831.672333,94,0.24050262570381165
1678835831.8335357,95,0.25343191623687744
1678835831.9719875,96,0.2662375271320343
1678835832.1176405,97,0.2790714204311371
1678835832.229112,98,0.2920272648334503
1678835832.3526707,99,0.30513817071914673
1678835832.5002792,100,0.3184005618095398
1678835832.630952,101,0.3317813575267792
1678835832.7776275,102,0.3452293574810028
1678835832.9737384,103,0.3586891293525696
1678835833.1342373,104,0.37210530042648315
