Wall time,Step,Value
1678835815.1381066,0,-4.600240707397461
1678835815.2921991,1,-4.600285053253174
1678835815.435071,2,-4.599959373474121
1678835815.5844939,3,-4.598308086395264
1678835815.752401,4,-4.5942702293396
1678835815.910669,5,-4.58725118637085
1678835816.1536255,6,-4.576959133148193
1678835816.3661025,7,-4.563353538513184
1678835816.59066,8,-4.546503067016602
1678835816.823313,9,-4.526546478271484
1678835817.065214,10,-4.503603935241699
1678835817.3108125,11,-4.47782039642334
1678835817.5482957,12,-4.4492621421813965
1678835817.8030128,13,-4.418187618255615
1678835818.05652,14,-4.385397911071777
1678835818.3187735,15,-4.352222442626953
1678835818.578169,16,-4.32006311416626
1678835818.8020227,17,-4.289402484893799
1678835818.959069,18,-4.2594804763793945
1678835819.096398,19,-4.228911399841309
1678835819.2359693,20,-4.196528434753418
1678835819.3645856,21,-4.161988258361816
1678835819.5162728,22,-4.125340461730957
1678835819.6351168,23,-4.0868401527404785
1678835819.7640784,24,-4.04683780670166
1678835819.909645,25,-4.005681991577148
1678835820.0410864,26,-3.963712692260742
1678835820.1902897,27,-3.92120361328125
1678835820.3321908,28,-3.878370761871338
1678835820.4882188,29,-3.8353590965270996
1678835820.6222823,30,-3.7922585010528564
1678835820.7591054,31,-3.749108076095581
1678835820.8876336,32,-3.7059123516082764
1678835821.0146034,33,-3.6626553535461426
1678835821.1442237,34,-3.6193079948425293
1678835821.2858112,35,-3.575840473175049
1678835821.4306912,36,-3.5322234630584717
1678835821.5983818,37,-3.4884390830993652
1678835821.7702727,38,-3.444476366043091
1678835821.9341784,39,-3.400334119796753
1678835822.1091654,40,-3.3560168743133545
1678835822.3023908,41,-3.311537981033325
1678835822.472156,42,-3.2669124603271484
1678835822.6345763,43,-3.2221570014953613
1678835822.8817031,44,-3.1772890090942383
1678835823.0077794,45,-3.13232421875
1678835823.1548738,46,-3.0872769355773926
1678835823.2888794,47,-3.042158603668213
1678835823.4348907,48,-2.996978759765625
1678835823.5801349,49,-2.951744556427002
1678835823.7284122,50,-2.9064621925354004
1678835823.9046316,51,-2.861135721206665
1678835824.054231,52,-2.815767765045166
1678835824.218517,53,-2.7703616619110107
1678835824.3692317,54,-2.724919319152832
1678835824.5337322,55,-2.679442882537842
1678835824.6965158,56,-2.633934259414673
1678835824.8671556,57,-2.588395595550537
1678835825.1046803,58,-2.5428290367126465
1678835825.327343,59,-2.497236728668213
1678835825.5113947,60,-2.4516208171844482
1678835825.6921606,61,-2.4059834480285645
1678835825.8904521,62,-2.3603265285491943
1678835826.0938542,63,-2.314652681350708
1678835826.2981386,64,-2.2689623832702637
1678835826.4934754,65,-2.223257541656494
1678835826.6934183,66,-2.177539825439453
1678835826.979833,67,-2.131809711456299
1678835827.3060298,68,-2.086069107055664
1678835827.5562685,69,-2.040318250656128
1678835827.826633,70,-1.9945580959320068
1678835828.0485802,71,-1.9487898349761963
1678835828.1989622,72,-1.9030135869979858
1678835828.3535566,73,-1.857230544090271
1678835828.5110881,74,-1.8114408254623413
1678835828.6745799,75,-1.7656452655792236
1678835828.8377922,76,-1.719844102859497
1678835828.9963388,77,-1.6740379333496094
1678835829.1542432,78,-1.6282272338867188
1678835829.311648,79,-1.582406759262085
1678835829.4699507,80,-1.536616563796997
1678835829.6603909,81,-1.4910619258880615
1678835829.8648086,82,-1.446184515953064
1678835830.0627995,83,-1.402644157409668
1678835830.2099764,84,-1.3612937927246094
1678835830.3546064,85,-1.3227275609970093
1678835830.5031939,86,-1.2873058319091797
1678835830.6320891,87,-1.2551002502441406
1678835830.7597458,88,-1.2260963916778564
1678835830.883646,89,-1.2001729011535645
1678835831.0272195,90,-1.1772253513336182
1678835831.1962316,91,-1.1571249961853027
1678835831.345691,92,-1.1397767066955566
1678835831.5047255,93,-1.1250313520431519
1678835831.6723754,94,-1.1125606298446655
1678835831.833574,95,-1.1017926931381226
1678835831.9720256,96,-1.0921181440353394
1678835832.1176794,97,-1.0830872058868408
1678835832.2291546,98,-1.0743963718414307
1678835832.3527179,99,-1.0658893585205078
1678835832.500318,100,-1.0575053691864014
1678835832.6310215,101,-1.0492570400238037
1678835832.7776945,102,-1.0412075519561768
1678835832.9738102,103,-1.0334351062774658
1678835833.134303,104,-1.0260250568389893
1678835833.3080776,105,-1.0190374851226807
1678835833.499872,106,-1.0125242471694946
1678835833.6838367,107,-1.0065064430236816
1678835833.8632345,108,-1.0009902715682983
1678835834.0791197,109,-0.9959596395492554
1678835834.3217742,110,-0.9913910627365112
1678835834.4799469,111,-0.98724764585495
1678835834.6467245,112,-0.9834911227226257
1678835834.8076224,113,-0.9800761938095093
1678835834.952773,114,-0.9769601821899414
1678835835.0995798,115,-0.9741039276123047
1678835835.2521634,116,-0.9714723825454712
1678835835.4134886,117,-0.9690350294113159
1678835835.5836923,118,-0.9667669534683228
1678835835.7595766,119,-0.964668869972229
1678835835.950185,120,-0.9627801775932312
1678835836.120218,121,-0.9611369967460632
1678835836.2951307,122,-0.9597613215446472
1678835836.4819975,123,-0.9586493372917175
1678835836.664881,124,-0.9577828645706177
1678835836.8393471,125,-0.9571307897567749
1678835837.0694892,126,-0.9566581845283508
1678835837.2993822,127,-0.9563296437263489
1678835837.5405989,128,-0.9561151266098022
1678835837.7886434,129,-0.9559935331344604
1678835838.0666554,130,-0.9559487104415894
1678835838.3050978,131,-0.9559677839279175
1678835838.491289,132,-0.956041693687439
1678835838.6498928,133,-0.956163227558136
1678835838.8332179,134,-0.9563279151916504
1678835839.001208,135,-0.9565321803092957
1678835839.169487,136,-0.9567724466323853
1678835839.3389316,137,-0.9570451974868774
1678835839.4917402,138,-0.9573480486869812
1678835839.6904685,139,-0.9576786756515503
1678835839.8835638,140,-0.9580168724060059
1678835840.0783987,141,-0.9585253000259399
1678835840.2632368,142,-0.9596516489982605
1678835840.4667666,143,-0.9618064165115356
1678835840.6721272,144,-0.9652588963508606
1678835840.873065,145,-0.9700673818588257
1678835841.0818214,146,-0.9761692881584167
1678835841.3163447,147,-0.9833978414535522
1678835841.4775074,148,-0.9915419816970825
1678835841.610017,149,-1.0003716945648193
1678835841.7439394,150,-1.0096502304077148
1678835841.8859026,151,-1.019181489944458
1678835842.040013,152,-1.028812289237976
1678835842.2016747,153,-1.038448452949524
1678835842.358038,154,-1.0480372905731201
1678835842.513918,155,-1.0575664043426514
1678835842.6577716,156,-1.0670487880706787
1678835842.8103728,157,-1.0765119791030884
1678835842.9562995,158,-1.0859920978546143
1678835843.12072,159,-1.0955218076705933
1678835843.2660398,160,-1.1051318645477295
1678835843.4160414,161,-1.1148302555084229
1678835843.5675595,162,-1.1247448921203613
1678835843.7262456,163,-1.135152816772461
1678835843.89022,164,-1.1463561058044434
1678835844.0926936,165,-1.1585166454315186
1678835844.2576277,166,-1.1716954708099365
1678835844.4585748,167,-1.185849905014038
1678835844.6706638,168,-1.200889229774475
1678835844.8663864,169,-1.2166941165924072
1678835845.0646126,170,-1.2331489324569702
1678835845.3421032,171,-1.2501486539840698
1678835845.4790316,172,-1.2676128149032593
1678835845.6102152,173,-1.2854892015457153
1678835845.7262504,174,-1.3037583827972412
1678835845.8571985,175,-1.322422742843628
1678835845.988724,176,-1.3415114879608154
1678835846.144677,177,-1.3610620498657227
1678835846.2662075,178,-1.3811310529708862
1678835846.3958411,179,-1.401777982711792
1678835846.5265014,180,-1.4230897426605225
1678835846.688462,181,-1.4451408386230469
1678835846.8431506,182,-1.468013048171997
1678835847.019013,183,-1.4916719198226929
1678835847.202063,184,-1.515914797782898
1678835847.3708193,185,-1.5405224561691284
1678835847.5375473,186,-1.5653605461120605
1678835847.7190065,187,-1.5903911590576172
1678835847.8861146,188,-1.6156784296035767
1678835848.0601852,189,-1.6413551568984985
1678835848.2346222,190,-1.667618751525879
1678835848.4071217,191,-1.6946594715118408
1678835848.5396895,192,-1.7227118015289307
1678835848.6561563,193,-1.7518240213394165
1678835848.760435,194,-1.7818139791488647
1678835848.8748739,195,-1.8124622106552124
1678835848.98148,196,-1.8435903787612915
1678835849.0893905,197,-1.875056266784668
1678835849.1911998,198,-1.9067468643188477
1678835849.2883246,199,-1.938584327697754
1678835849.426953,200,-1.9705171585083008
1678835849.560388,201,-2.002518653869629
1678835849.6829138,202,-2.034578561782837
1678835849.8251274,203,-2.066744327545166
1678835849.971931,204,-2.0985796451568604
1678835850.1177776,205,-2.1290690898895264
1678835850.2596679,206,-2.1570847034454346
1678835850.4082806,207,-2.1819965839385986
1678835850.5371795,208,-2.203505039215088
1678835850.6947632,209,-2.2215723991394043
1678835850.856293,210,-2.23628306388855
1678835851.020863,211,-2.247797727584839
1678835851.1788542,212,-2.256255626678467
1678835851.3383482,213,-2.261821746826172
1678835851.4992971,214,-2.2645907402038574
1678835851.6621504,215,-2.26467227935791
1678835851.849378,216,-2.262150526046753
1678835852.0312588,217,-2.25722599029541
1678835852.1645947,218,-2.250174045562744
1678835852.280835,219,-2.2413244247436523
1678835852.3972178,220,-2.2310187816619873
1678835852.515551,221,-2.2195680141448975
1678835852.6299503,222,-2.2072439193725586
1678835852.7512515,223,-2.1942574977874756
1678835853.0208676,224,-2.1807668209075928
1678835853.201914,225,-2.1668765544891357
1678835853.3620515,226,-2.152649402618408
1678835853.549215,227,-2.138118028640747
1678835853.7333055,228,-2.123290777206421
1678835853.8860347,229,-2.1081690788269043
1678835854.0342102,230,-2.0927462577819824
1678835854.240826,231,-2.0770201683044434
1678835854.393211,232,-2.0609889030456543
1678835854.5169642,233,-2.044661045074463
1678835854.6566894,234,-2.0280463695526123
1678835854.8077161,235,-2.0111629962921143
1678835854.9534597,236,-1.9940299987792969
1678835855.0706887,237,-1.9766700267791748
1678835855.1797326,238,-1.9591052532196045
1678835855.2885952,239,-1.9413583278656006
1678835855.4268084,240,-1.923449158668518
1678835855.554247,241,-1.9053971767425537
1678835855.6825216,242,-1.8872172832489014
1678835855.8522637,243,-1.8689243793487549
1678835856.0049474,244,-1.8505290746688843
1678835856.1661596,245,-1.8320420980453491
1678835856.3417106,246,-1.8134706020355225
1678835856.502481,247,-1.7948224544525146
1678835856.665808,248,-1.7761030197143555
1678835856.8452983,249,-1.7573177814483643
1678835857.0097482,250,-1.7384716272354126
1678835857.191332,251,-1.7195695638656616
