Wall time,Step,Value
1678837501.3780653,0,-4.499141216278076
1678837501.557253,1,-4.4991865158081055
1678837501.741409,2,-4.498862266540527
1678837501.9267178,3,-4.497213363647461
1678837502.1215827,4,-4.493176460266113
1678837502.315399,5,-4.486159324645996
1678837502.5159044,6,-4.475868225097656
1678837502.6652634,7,-4.462264060974121
1678837502.8612545,8,-4.4454026222229
1678837503.0407922,9,-4.425555229187012
1678837503.2057552,10,-4.403380393981934
1678837503.4197023,11,-4.379878044128418
1678837503.6327794,12,-4.356143951416016
1678837503.8075147,13,-4.3328776359558105
1678837503.964648,14,-4.310047626495361
1678837504.1319344,15,-4.286856174468994
1678837504.2811098,16,-4.262216567993164
1678837504.5174909,17,-4.2361249923706055
1678837504.6852868,18,-4.210201740264893
1678837504.8787107,19,-4.186426639556885
1678837505.0913498,20,-4.166106224060059
1678837505.3409753,21,-4.1497297286987305
1678837505.520097,22,-4.137560844421387
1678837505.6550906,23,-4.129372596740723
1678837505.820638,24,-4.124948501586914
1678837505.985731,25,-4.123985290527344
1678837506.2442713,26,-4.12620210647583
1678837506.4583519,27,-4.131402969360352
1678837506.6346939,28,-4.1393723487854
1678837506.8359118,29,-4.149853706359863
1678837507.0127163,30,-4.162654399871826
1678837507.2203574,31,-4.177587985992432
1678837507.409148,32,-4.194279670715332
1678837507.5675993,33,-4.212248802185059
1678837507.8064713,34,-4.231075286865234
1678837508.0095632,35,-4.250439643859863
1678837508.2164571,36,-4.27011775970459
1678837508.4155674,37,-4.289982318878174
1678837508.6286793,38,-4.310032844543457
1678837508.8209429,39,-4.329682350158691
1678837509.0975358,40,-4.347559928894043
1678837509.3006241,41,-4.362320899963379
1678837509.494017,42,-4.373154640197754
1678837509.7224925,43,-4.3799238204956055
1678837509.9709458,44,-4.382607936859131
1678837510.2378957,45,-4.38151741027832
1678837510.4897602,46,-4.376914978027344
1678837510.702301,47,-4.3690900802612305
1678837510.8418283,48,-4.358305931091309
1678837510.9952097,49,-4.344759941101074
1678837511.1981218,50,-4.3285932540893555
1678837511.3743942,51,-4.309867858886719
1678837511.533137,52,-4.288609504699707
1678837511.728649,53,-4.264838218688965
1678837511.8929763,54,-4.238610744476318
1678837512.0955453,55,-4.210777759552002
1678837512.3218315,56,-4.183452129364014
1678837512.5112479,57,-4.158812522888184
1678837512.7253006,58,-4.138167858123779
1678837512.9485726,59,-4.1218485832214355
1678837513.1332726,60,-4.109940528869629
1678837513.3194764,61,-4.102078437805176
1678837513.5359163,62,-4.097901821136475
1678837513.7413194,63,-4.097042083740234
1678837513.969148,64,-4.099171161651611
1678837514.1743083,65,-4.104079723358154
1678837514.3770092,66,-4.111567974090576
1678837514.6023848,67,-4.121428489685059
1678837514.8240447,68,-4.133392333984375
1678837515.0153131,69,-4.147156715393066
1678837515.2420485,70,-4.162432670593262
1678837515.48851,71,-4.178934574127197
1678837515.7350295,72,-4.1964240074157715
1678837515.9545853,73,-4.21469259262085
1678837516.1726658,74,-4.233577251434326
1678837516.4178703,75,-4.252951622009277
1678837516.6859756,76,-4.2727227210998535
1678837516.9412706,77,-4.292827606201172
1678837517.1350396,78,-4.313271999359131
1678837517.3225355,79,-4.333459377288818
1678837517.5281682,80,-4.352004051208496
1678837517.7300494,81,-4.36759090423584
1678837517.9187598,82,-4.379485130310059
1678837518.1203961,83,-4.387645244598389
1678837518.39659,84,-4.392166614532471
1678837518.6097887,85,-4.393413543701172
1678837518.890704,86,-4.391684532165527
1678837519.221047,87,-4.3872880935668945
1678837519.519222,88,-4.380560874938965
1678837519.7875288,89,-4.371813774108887
1678837519.9715471,90,-4.361298561096191
1678837520.1599083,91,-4.349068641662598
1678837520.3457246,92,-4.334954738616943
1678837520.549277,93,-4.318700790405273
1678837520.7216609,94,-4.3000288009643555
1678837520.9213073,95,-4.2787909507751465
1678837521.0871327,96,-4.254951477050781
1678837521.2613509,97,-4.229326248168945
1678837521.4272716,98,-4.204052925109863
1678837521.616873,99,-4.181302070617676
1678837521.8433723,100,-4.162330150604248
1678837522.043468,101,-4.147409915924072
1678837522.2824478,102,-4.136519432067871
1678837522.5002778,103,-4.12923002243042
1678837522.6726665,104,-4.125124931335449
1678837522.9404106,105,-4.12382173538208
1678837523.0866191,106,-4.1250128746032715
1678837523.2855499,107,-4.128532409667969
1678837523.5192943,108,-4.134272575378418
1678837523.704776,109,-4.142152786254883
1678837523.8813567,110,-4.152064323425293
1678837524.0523286,111,-4.163855075836182
1678837524.248693,112,-4.177371025085449
1678837524.479595,113,-4.1924147605896
