Wall time,Step,Value
1678837501.376736,0,-0.20844082534313202
1678837501.5542474,1,-0.20842599868774414
1678837501.7395375,2,-0.20854294300079346
1678837501.925159,3,-0.20905601978302002
1678837502.1206195,4,-0.21014204621315002
1678837502.3138156,5,-0.21182546019554138
1678837502.514443,6,-0.21406424045562744
1678837502.6638944,7,-0.21677513420581818
1678837502.8598049,8,-0.21985778212547302
1678837503.039634,9,-0.22321268916130066
1678837503.204639,10,-0.22674818336963654
1678837503.4181378,11,-0.2303916960954666
1678837503.6313002,12,-0.23408670723438263
1678837503.805999,13,-0.23779699206352234
1678837503.9633694,14,-0.24150049686431885
1678837504.1305332,15,-0.24518871307373047
1678837504.2795808,16,-0.24886134266853333
1678837504.516476,17,-0.25252392888069153
1678837504.6838744,18,-0.25618502497673035
1678837504.8774776,19,-0.25985294580459595
1678837505.0900009,20,-0.2635350823402405
1678837505.3390787,21,-0.26723581552505493
1678837505.5187511,22,-0.2709576487541199
1678837505.6538582,23,-0.27470025420188904
1678837505.8197746,24,-0.2784615457057953
1678837505.9843838,25,-0.2822381556034088
1678837506.2429564,26,-0.2860260605812073
1678837506.4570887,27,-0.2898212969303131
1678837506.632711,28,-0.2936193346977234
1678837506.8347354,29,-0.2974163293838501
1678837507.0117676,30,-0.3012085258960724
1678837507.2192426,31,-0.3049928545951843
1678837507.408167,32,-0.30876681208610535
1678837507.5662103,33,-0.31252917647361755
1678837507.8047385,34,-0.3162787854671478
1678837508.0080364,35,-0.3200150728225708
1678837508.2149956,36,-0.3237372040748596
1678837508.414352,37,-0.327444851398468
1678837508.6276433,38,-0.3311375677585602
1678837508.8200557,39,-0.3348149061203003
1678837509.096615,40,-0.3384764790534973
1678837509.2996004,41,-0.3421223759651184
1678837509.492639,42,-0.3457527160644531
1678837509.7213871,43,-0.34936752915382385
1678837509.9696102,44,-0.3529665470123291
1678837510.236893,45,-0.356549471616745
1678837510.488982,46,-0.3601156175136566
1678837510.7009323,47,-0.3636649250984192
1678837510.8409846,48,-0.3671973943710327
1678837510.9940355,49,-0.37071338295936584
1678837511.196668,50,-0.37421274185180664
1678837511.3735018,51,-0.3776955008506775
1678837511.5321221,52,-0.3811613917350769
1678837511.7273462,53,-0.38461023569107056
1678837511.8916838,54,-0.38804155588150024
1678837512.0930343,55,-0.3914557099342346
1678837512.320699,56,-0.3948530852794647
1678837512.509989,57,-0.3982343375682831
1678837512.723783,58,-0.4015997052192688
1678837512.9476535,59,-0.40494927763938904
1678837513.1320376,60,-0.4082830548286438
1678837513.3176057,61,-0.41160064935684204
1678837513.5352125,62,-0.4149019122123718
1678837513.740455,63,-0.41818690299987793
1678837513.9678857,64,-0.4214558005332947
1678837514.1733887,65,-0.4247090220451355
1678837514.3759449,66,-0.42794713377952576
1678837514.6012578,67,-0.4311707019805908
1678837514.8233466,68,-0.434379518032074
1678837515.0141203,69,-0.4375740885734558
1678837515.2411401,70,-0.440754234790802
1678837515.48692,71,-0.4439201354980469
1678837515.7337937,72,-0.44707155227661133
1678837515.953338,73,-0.45020923018455505
1678837516.1700718,74,-0.45333319902420044
1678837516.4167526,75,-0.4564440846443176
1678837516.684511,76,-0.45954185724258423
1678837516.940205,77,-0.46262651681900024
1678837517.1329362,78,-0.46569809317588806
1678837517.3215613,79,-0.4687565863132477
1678837517.5266647,80,-0.4718015193939209
1678837517.7286198,81,-0.4748331904411316
1678837517.917606,82,-0.4778519570827484
1678837518.11847,83,-0.4808584153652191
1678837518.3949597,84,-0.48385295271873474
1678837518.6085808,85,-0.48683595657348633
1678837518.889162,86,-0.4898071885108948
1678837519.2197022,87,-0.49276652932167053
1678837519.517674,88,-0.4957137107849121
1678837519.7864158,89,-0.49865207076072693
1678837519.9706447,90,-0.5015458464622498
1678837520.158576,91,-0.5043104887008667
1678837520.3446665,92,-0.5068546533584595
1678837520.5477154,93,-0.509130597114563
1678837520.7208395,94,-0.5111218690872192
1678837520.9195971,95,-0.5128447413444519
1678837521.0855203,96,-0.5143325924873352
1678837521.260386,97,-0.5156286954879761
1678837521.4261959,98,-0.5167795419692993
1678837521.6142764,99,-0.5178269147872925
1678837521.8418434,100,-0.518807053565979
1678837522.0423183,101,-0.5197468996047974
1678837522.2816157,102,-0.5206657648086548
1678837522.498666,103,-0.5215747356414795
1678837522.6716602,104,-0.5224794149398804
1678837522.9383366,105,-0.5233805775642395
1678837523.0853927,106,-0.5242761373519897
1678837523.2845578,107,-0.5251628160476685
1678837523.51815,108,-0.5260366201400757
1678837523.7041,109,-0.5268941521644592
1678837523.880418,110,-0.5277325510978699
1678837524.0512269,111,-0.5285506844520569
1678837524.2476265,112,-0.5293530821800232
1678837524.4782684,113,-0.5300946831703186
1678837524.6845021,114,-0.5306509733200073
1678837524.8644133,115,-0.5309089422225952
1678837525.0604637,116,-0.5307949781417847
1678837525.274315,117,-0.5302938222885132
1678837525.4315674,118,-0.5294246673583984
1678837525.6589262,119,-0.5282350778579712
1678837525.843686,120,-0.5267849564552307
1678837526.0361264,121,-0.5251359939575195
1678837526.2466838,122,-0.5233463644981384
1678837526.4254382,123,-0.5214635729789734
1678837526.594277,124,-0.5195249319076538
1678837526.7478898,125,-0.5175548791885376
1678837526.9560628,126,-0.5155680179595947
1678837527.1845636,127,-0.5135700702667236
1678837527.3878324,128,-0.5115610361099243
1678837527.5987413,129,-0.5095372796058655
1678837527.798341,130,-0.5074924826622009
1678837528.043822,131,-0.5054207444190979
1678837528.2648864,132,-0.5033165812492371
1678837528.4765365,133,-0.5011772513389587
1678837528.6777544,134,-0.498994916677475
1678837528.8791707,135,-0.4967549741268158
1678837529.1192107,136,-0.4944421648979187
1678837529.3356838,137,-0.49204960465431213
1678837529.5613813,138,-0.4895765781402588
1678837529.7962701,139,-0.4870283603668213
1678837529.9787061,140,-0.48441219329833984
1678837530.224967,141,-0.48173731565475464
1678837530.4578547,142,-0.47901344299316406
1678837530.6675115,143,-0.4762496054172516
1678837530.915711,144,-0.4734531044960022
1678837531.1114264,145,-0.4706299304962158
1678837531.357972,146,-0.4677850306034088
1678837531.628939,147,-0.4649215638637543
1678837531.874368,148,-0.4620412290096283
1678837532.0601158,149,-0.45914530754089355
1678837532.29532,150,-0.45623427629470825
1678837532.572683,151,-0.453307569026947
1678837532.7710989,152,-0.45036453008651733
1678837533.0251212,153,-0.447404682636261
1678837533.2742786,154,-0.44442716240882874
1678837533.5658646,155,-0.4414269030094147
1678837533.799798,156,-0.43845057487487793
1678837534.0214505,157,-0.43560999631881714
1678837534.2487257,158,-0.4330264627933502
1678837534.5096188,159,-0.4307657778263092
1678837534.8010535,160,-0.42885246872901917
1678837535.1189663,161,-0.4272688925266266
1678837535.3122149,162,-0.4259747862815857
1678837535.527581,163,-0.42491617798805237
1678837535.7547925,164,-0.4240352213382721
1678837535.9518332,165,-0.4232790470123291
1678837536.126643,166,-0.4226020276546478
1678837536.3318794,167,-0.4219701290130615
1678837536.5450196,168,-0.4213589131832123
1678837536.77404,169,-0.420754611492157
1678837536.953843,170,-0.42015066742897034
1678837537.223336,171,-0.4195466637611389
1678837537.4606683,172,-0.41894564032554626
1678837537.6360815,173,-0.41835254430770874
1678837537.8618314,174,-0.41777294874191284
1678837538.0694525,175,-0.4172113835811615
1678837538.3314226,176,-0.4166715741157532
1678837538.568047,177,-0.4161553978919983
1678837538.7789884,178,-0.41566404700279236
1678837539.0011947,179,-0.41519659757614136
1678837539.206859,180,-0.41475191712379456
1678837539.4206245,181,-0.41432762145996094
1678837539.6698391,182,-0.41392165422439575
1678837539.9057856,183,-0.4135313630104065
1678837540.1620514,184,-0.413154661655426
1678837540.379924,185,-0.4127894937992096
1678837540.6807792,186,-0.41243425011634827
1678837540.9833724,187,-0.4120873808860779
1678837541.2164302,188,-0.4117479920387268
1678837541.520925,189,-0.4114152491092682
1678837541.782637,190,-0.4110885262489319
1678837542.0903792,191,-0.41076740622520447
1678837542.4220598,192,-0.41045159101486206
1678837542.6592557,193,-0.4101407527923584
1678837542.845988,194,-0.40983468294143677
1678837543.008177,195,-0.4095330834388733
1678837543.17397,196,-0.40923577547073364
1678837543.3265917,197,-0.40894240140914917
1678837543.4962723,198,-0.4086528420448303
1678837543.6756995,199,-0.40836673974990845
1678837543.8692083,200,-0.40808382630348206
1678837544.039677,201,-0.4078039228916168
1678837544.208519,202,-0.4075266718864441
1678837544.3714402,203,-0.4072520136833191
1678837544.5522413,204,-0.40697965025901794
1678837544.7229304,205,-0.4067094326019287
1678837544.9144585,206,-0.40644121170043945
1678837545.166653,207,-0.40617483854293823
1678837545.414705,208,-0.4059101939201355
1678837545.5854511,209,-0.4056471288204193
1678837545.7579165,210,-0.4053855836391449
1678837545.9152453,211,-0.4051254689693451
1678837546.0521495,212,-0.40486663579940796
1678837546.216937,213,-0.4046091139316559
1678837546.4150777,214,-0.40435266494750977
1678837546.6312606,215,-0.40409737825393677
1678837546.8243916,216,-0.40384310483932495
1678837547.0540192,217,-0.4035899043083191
1678837547.236429,218,-0.4033377170562744
1678837547.4530761,219,-0.4030863642692566
1678837547.6493435,220,-0.40283602476119995
1678837547.8503637,221,-0.4025864601135254
1678837548.087492,222,-0.40233778953552246
1678837548.2956433,223,-0.4020898938179016
1678837548.49723,224,-0.4018426835536957
1678837548.6453295,225,-0.4015963077545166
1678837548.8014195,226,-0.40135055780410767
1678837548.984606,227,-0.4011055827140808
1678837549.1531422,228,-0.4008612036705017
1678837549.354487,229,-0.4006175100803375
1678837549.5674112,230,-0.40037447214126587
1678837549.7144742,231,-0.4001320004463196
1678837549.892152,232,-0.3998900055885315
1678837550.0683334,233,-0.399648517370224
1678837550.2483478,234,-0.3994074761867523
1678837550.4295938,235,-0.39916685223579407
1678837550.5975974,236,-0.39892661571502686
1678837550.7967703,237,-0.3986867666244507
1678837550.9762251,238,-0.3984473645687103
1678837551.1326046,239,-0.3982083797454834
1678837551.3245547,240,-0.3979698419570923
1678837551.5442615,241,-0.3977317810058594
1678837551.7641306,242,-0.39749419689178467
1678837552.011745,243,-0.39725708961486816
1678837552.2571774,244,-0.3970203995704651
1678837552.537377,245,-0.39678412675857544
1678837552.806634,246,-0.3965483009815216
1678837553.0646405,247,-0.3963128328323364
1678837553.2621229,248,-0.3960777819156647
1678837553.4739888,249,-0.3958430886268616
1678837553.6602192,250,-0.3956088125705719
1678837553.8435168,251,-0.39537495374679565
1678837554.024118,252,-0.39514151215553284
1678837554.1748466,253,-0.39490845799446106
1678837554.3138947,254,-0.3946758210659027
1678837554.4661613,255,-0.3944435715675354
1678837554.6646779,256,-0.39421170949935913
1678837554.8676915,257,-0.39398014545440674
1678837555.0934381,258,-0.3937489688396454
1678837555.2838368,259,-0.3935181498527527
1678837555.4380531,260,-0.3932875990867615
1678837555.620268,261,-0.39305731654167175
1678837555.8209183,262,-0.3928273022174835
1678837556.0113833,263,-0.3925974667072296
1678837556.18206,264,-0.3923678398132324
1678837556.3565986,265,-0.39213836193084717
1678837556.5711467,266,-0.39190903306007385
1678837556.747568,267,-0.39167988300323486
1678837556.9444368,268,-0.3914508521556854
1678837557.1362772,269,-0.3912219703197479
1678837557.367095,270,-0.3909880518913269
1678837557.57675,271,-0.39079347252845764
1678837557.7855008,272,-0.3907593786716461
1678837557.986523,273,-0.39099663496017456
1678837558.2123702,274,-0.39157772064208984
1678837558.4638157,275,-0.3925185203552246
1678837558.7501304,276,-0.3938015103340149
1678837558.952191,277,-0.3953816294670105
1678837559.1188743,278,-0.3972014784812927
1678837559.269662,279,-0.3992014527320862
1678837559.494352,280,-0.4013248383998871
1678837559.6886432,281,-0.4035256505012512
1678837559.8809009,282,-0.40576696395874023
1678837560.1136777,283,-0.40802422165870667
1678837560.3192904,284,-0.41028180718421936
1678837560.490052,285,-0.4125325083732605
1678837560.718526,286,-0.4147753119468689
1678837560.9560025,287,-0.4170128405094147
1678837561.1798134,288,-0.41924992203712463
1678837561.3797367,289,-0.4214915335178375
1678837561.5889933,290,-0.4237423837184906
1678837561.745456,291,-0.4260057806968689
1678837561.921446,292,-0.4282838702201843
1678837562.1622775,293,-0.43057718873023987
1678837562.322011,294,-0.43288499116897583
1678837562.4934833,295,-0.43520569801330566
1678837562.672664,296,-0.43753695487976074
1678837562.8551064,297,-0.4398763179779053
1678837563.0590255,298,-0.44222110509872437
1678837563.2320812,299,-0.44456902146339417
1678837563.4302537,300,-0.44691792130470276
1678837563.606272,301,-0.44926562905311584
1678837563.793151,302,-0.45161086320877075
1678837563.957643,303,-0.45395272970199585
1678837564.1199114,304,-0.45629042387008667
1678837564.3100874,305,-0.45862317085266113
1678837564.4848828,306,-0.46095046401023865
1678837564.6832263,307,-0.4632720947265625
1678837564.8868153,308,-0.46558767557144165
1678837565.0771117,309,-0.46789684891700745
1678837565.2623653,310,-0.47019925713539124
1678837565.438101,311,-0.4724947512149811
1678837565.6527991,312,-0.4747832417488098
1678837565.8605468,313,-0.47706443071365356
1678837566.0734727,314,-0.4793378710746765
1678837566.2519329,315,-0.4816036820411682
1678837566.4667504,316,-0.48386168479919434
1678837566.678229,317,-0.48611149191856384
1678837566.9780269,318,-0.48835262656211853
1678837567.2048054,319,-0.4905850887298584
1678837567.4287403,320,-0.4928087592124939
1678837567.602598,321,-0.4950234889984131
1678837567.8178005,322,-0.49722903966903687
1678837568.018247,323,-0.4994255602359772
1678837568.2302153,324,-0.5016127824783325
1678837568.4551616,325,-0.5037909746170044
1678837568.643196,326,-0.5059595704078674
1678837568.8352697,327,-0.5081190466880798
1678837569.016027,328,-0.510269820690155
1678837569.2292738,329,-0.512412428855896
1678837569.4231808,330,-0.5145465731620789
1678837569.5799592,331,-0.5166723728179932
1678837569.7922544,332,-0.5187898874282837
1678837570.0085692,333,-0.5208991765975952
1678837570.2125742,334,-0.5230001211166382
1678837570.413931,335,-0.5250924825668335
1678837570.5810974,336,-0.5271763801574707
1678837570.7959516,337,-0.5292518734931946
1678837571.0369387,338,-0.5313187837600708
1678837571.273365,339,-0.5333771109580994
1678837571.4933107,340,-0.5354269742965698
1678837571.7085967,341,-0.5374688506126404
1678837571.9658926,342,-0.5395029783248901
1678837572.2326987,343,-0.5415294766426086
1678837572.4032001,344,-0.5435481667518616
1678837572.6127393,345,-0.5455592274665833
1678837572.7574124,346,-0.5475630164146423
