Wall time,Step,Value
1678837501.3772204,0,-1.0066674947738647
1678837501.554296,1,-1.0066584348678589
1678837501.7396812,2,-1.0067251920700073
1678837501.9252937,3,-1.0070197582244873
1678837502.1206694,4,-1.0076431035995483
1678837502.3139489,5,-1.0086091756820679
1678837502.5145736,6,-1.0098938941955566
1678837502.6639423,7,-1.0114495754241943
1678837502.8599405,8,-1.0132189989089966
1678837503.039684,9,-1.0151456594467163
1678837503.2047722,10,-1.017177700996399
1678837503.418296,11,-1.0192737579345703
1678837503.6314402,12,-1.021402359008789
1678837503.8061397,13,-1.023543119430542
1678837503.9634378,14,-1.0256845951080322
1678837504.1305828,15,-1.027822732925415
1678837504.2797127,16,-1.0299584865570068
1678837504.5166547,17,-1.032096266746521
1678837504.6840134,18,-1.034243106842041
1678837504.8776128,19,-1.0364055633544922
1678837505.0901394,20,-1.0385891199111938
1678837505.3392081,21,-1.0407963991165161
1678837505.51889,22,-1.0430288314819336
1678837505.653933,23,-1.045285940170288
1678837505.8198195,24,-1.047566294670105
1678837505.9845195,25,-1.0498673915863037
1678837506.2430925,26,-1.0521858930587769
1678837506.4571407,27,-1.0545191764831543
1678837506.6328578,28,-1.0568640232086182
1678837506.8348677,29,-1.0592180490493774
1678837507.0118973,30,-1.0615789890289307
1678837507.2193751,31,-1.063944935798645
1678837507.4082167,32,-1.0663145780563354
1678837507.5663362,33,-1.0686872005462646
1678837507.804871,34,-1.0710620880126953
1678837508.0081942,35,-1.073441982269287
1678837508.2150476,36,-1.0757946968078613
1678837508.4145079,37,-1.0780439376831055
1678837508.6276977,38,-1.0801072120666504
1678837508.8201017,39,-1.0819408893585205
1678837509.096676,40,-1.0835291147232056
1678837509.29965,41,-1.0848859548568726
1678837509.4927692,42,-1.0860402584075928
1678837509.7214577,43,-1.0870301723480225
1678837509.9697511,44,-1.0878961086273193
1678837510.2370293,45,-1.088674783706665
1678837510.48903,46,-1.0893985033035278
1678837510.7010598,47,-1.0900905132293701
1678837510.8413193,48,-1.0907683372497559
1678837510.9941745,49,-1.0914413928985596
1678837511.1967998,50,-1.092114806175232
1678837511.3735518,51,-1.0927889347076416
1678837511.532255,52,-1.093461275100708
1678837511.727492,53,-1.094128966331482
1678837511.891818,54,-1.0947883129119873
1678837512.093316,55,-1.0954363346099854
1678837512.3208282,56,-1.0960707664489746
1678837512.5101135,57,-1.0966947078704834
1678837512.7239292,58,-1.0972667932510376
1678837512.9477017,59,-1.097690463066101
1678837513.1320834,60,-1.0978610515594482
1678837513.3177347,61,-1.0977226495742798
1678837513.5352652,62,-1.0972554683685303
1678837513.74058,63,-1.0964763164520264
1678837513.968022,64,-1.0954214334487915
1678837514.1735165,65,-1.0941393375396729
1678837514.3760796,66,-1.0926817655563354
1678837514.6013963,67,-1.0910961627960205
1678837514.8234057,68,-1.0894224643707275
1678837515.0142407,69,-1.087690830230713
1678837515.2411885,70,-1.0859224796295166
1678837515.4871106,71,-1.0841305255889893
1678837515.7339277,72,-1.0823211669921875
1678837515.953385,73,-1.080494999885559
1678837516.170563,74,-1.0786490440368652
1678837516.4168882,75,-1.0767790079116821
1678837516.6846335,76,-1.0748798847198486
1678837516.9403436,77,-1.0729482173919678
1678837517.133084,78,-1.070981740951538
1678837517.3217137,79,-1.0689706802368164
1678837517.5268002,80,-1.0668931007385254
1678837517.7286668,81,-1.064729928970337
1678837517.9176524,82,-1.0624688863754272
1678837518.1186864,83,-1.060107707977295
1678837518.3950064,84,-1.0576510429382324
1678837518.6087134,85,-1.055108666419983
1678837518.8892944,86,-1.0524944067001343
1678837519.2197685,87,-1.0498217344284058
1678837519.5178065,88,-1.0471032857894897
1678837519.7865698,89,-1.044350028038025
1678837519.9707696,90,-1.0415705442428589
1678837520.1586275,91,-1.0387710332870483
1678837520.344804,92,-1.0359553098678589
1678837520.547846,93,-1.0331262350082397
1678837520.7208884,94,-1.0302846431732178
