Wall time,Step,Value
1678837501.3774512,0,-1.5039236545562744
1678837501.5543625,1,-1.5038971900939941
1678837501.7398891,2,-1.504091501235962
1678837501.925494,3,-1.5050685405731201
1678837502.1207309,4,-1.5074514150619507
1678837502.3141606,5,-1.5115604400634766
1678837502.514767,6,-1.5174815654754639
1678837502.6640117,7,-1.5251058340072632
1678837502.8601456,8,-1.5341908931732178
1678837503.0397556,9,-1.5444364547729492
1678837503.2049637,10,-1.5555317401885986
1678837503.4185064,11,-1.5671972036361694
1678837503.6316261,12,-1.5791999101638794
1678837503.8063488,13,-1.5913726091384888
1678837503.9635031,14,-1.6035999059677124
1678837504.1306458,15,-1.6158215999603271
1678837504.2799087,16,-1.6280145645141602
1678837504.5169132,17,-1.6401832103729248
1678837504.6842117,18,-1.652350664138794
1678837504.8778152,19,-1.6645450592041016
1678837505.0903366,20,-1.67679762840271
1678837505.3394055,21,-1.6891342401504517
1678837505.5190864,22,-1.7015749216079712
1678837505.6540475,23,-1.7141304016113281
1678837505.8198743,24,-1.7268047332763672
1678837505.9847198,25,-1.7395951747894287
1678837506.243292,26,-1.75249445438385
1678837506.4572067,27,-1.7654914855957031
1678837506.6330612,28,-1.778573989868164
1678837506.8350596,29,-1.7917544841766357
1678837507.0120869,30,-1.8047678470611572
1678837507.2195792,31,-1.8170316219329834
1678837507.4082823,32,-1.8279054164886475
1678837507.5665283,33,-1.837064504623413
1678837507.805068,34,-1.8444337844848633
1678837508.008393,35,-1.8501319885253906
1678837508.2151146,36,-1.8544130325317383
1678837508.4147277,37,-1.857588768005371
1678837508.6277664,38,-1.8599770069122314
1678837508.820159,39,-1.861856460571289
1678837509.096753,40,-1.8634569644927979
1678837509.2997112,41,-1.8649413585662842
1678837509.492957,42,-1.86642587184906
1678837509.7215285,43,-1.867974042892456
1678837509.9699576,44,-1.8696190118789673
1678837510.2372239,45,-1.8713632822036743
1678837510.489091,46,-1.8731944561004639
1678837510.7012458,47,-1.8750874996185303
1678837510.8414054,48,-1.8770129680633545
1678837510.9943712,49,-1.8789408206939697
1678837511.196994,50,-1.8808437585830688
1678837511.373615,51,-1.8826990127563477
1678837511.532458,52,-1.884488821029663
1678837511.7276773,53,-1.8862015008926392
1678837511.8920121,54,-1.8878294229507446
1678837512.0935144,55,-1.8893697261810303
1678837512.3210208,56,-1.8908218145370483
1678837512.5103045,57,-1.8921877145767212
1678837512.7241366,58,-1.8934695720672607
1678837512.947761,59,-1.894671082496643
1678837513.1321418,60,-1.8957939147949219
1678837513.3179286,61,-1.8968448638916016
1678837513.5353336,62,-1.8978321552276611
1678837513.7407694,63,-1.8987576961517334
1678837513.9685307,64,-1.899604082107544
1678837514.1737254,65,-1.9003196954727173
1678837514.376276,66,-1.9012264013290405
1678837514.6016097,67,-1.9030319452285767
1678837514.8234704,68,-1.9066236019134521
1678837515.0144186,69,-1.9124408960342407
1678837515.241252,70,-1.9205100536346436
1678837515.4873557,71,-1.930637001991272
1678837515.7341275,72,-1.942386269569397
1678837515.953447,73,-1.9552781581878662
1678837516.1708107,74,-1.9688535928726196
1678837516.4170878,75,-1.9827194213867188
1678837516.6858146,76,-1.9965784549713135
1678837516.9405522,77,-2.0102455615997314
1678837517.1332862,78,-2.023607015609741
1678837517.321937,79,-2.036634922027588
1678837517.5270042,80,-2.0493438243865967
1678837517.728729,81,-2.0617823600769043
1678837517.9177125,82,-2.0740175247192383
1678837518.1189997,83,-2.0861141681671143
1678837518.3950658,84,-2.0981340408325195
1678837518.6089034,85,-2.110124111175537
1678837518.8900905,86,-2.1221189498901367
1678837519.2198577,87,-2.13413667678833
1678837519.5179963,88,-2.146186113357544
1678837519.7867658,89,-2.1582674980163574
1678837519.9709609,90,-2.1704087257385254
1678837520.1586964,91,-2.182351589202881
1678837520.345005,92,-2.1934611797332764
1678837520.5480366,93,-2.203176498413086
1678837520.7209492,94,-2.2112364768981934
1678837520.9199,95,-2.2177348136901855
1678837521.085861,96,-2.2229056358337402
1678837521.2604978,97,-2.2270913124084473
1678837521.4265182,98,-2.2306435108184814
1678837521.6144335,99,-2.2338428497314453
1678837521.8421607,100,-2.236912727355957
1678837522.042769,101,-2.2399826049804688
1678837522.2817237,102,-2.2431225776672363
1678837522.49904,103,-2.2463488578796387
1678837522.6719842,104,-2.249645471572876
1678837522.9387796,105,-2.252977132797241
1678837523.0856931,106,-2.256300687789917
1678837523.284906,107,-2.2595760822296143
1678837523.5184605,108,-2.262765884399414
1678837523.704205,109,-2.2658462524414062
1678837523.8805354,110,-2.268799304962158
1678837524.0515707,111,-2.2716293334960938
1678837524.2479684,112,-2.274358034133911
1678837524.4786153,113,-2.2770001888275146
1678837524.6848285,114,-2.279538869857788
1678837524.864726,115,-2.2819173336029053
1678837525.060794,116,-2.284043312072754
1678837525.2744212,117,-2.2858498096466064
1678837525.4318833,118,-2.287324905395508
1678837525.659293,119,-2.288849115371704
1678837525.8440094,120,-2.2912144660949707
1678837526.0364318,121,-2.295241355895996
1678837526.2470329,122,-2.3012988567352295
1678837526.4257526,123,-2.309217929840088
1678837526.5943723,124,-2.318702459335327
1678837526.74821,125,-2.3292737007141113
1678837526.956395,126,-2.3404488563537598
1678837527.1849117,127,-2.3518669605255127
1678837527.3881602,128,-2.363234758377075
1678837527.5990586,129,-2.374396324157715
1678837527.799019,130,-2.3852837085723877
1678837528.0441446,131,-2.3959500789642334
1678837528.2651868,132,-2.4060051441192627
1678837528.4770238,133,-2.41445255279541
1678837528.6780756,134,-2.420201539993286
1678837528.8795817,135,-2.422654628753662
1678837529.1195605,136,-2.4215030670166016
1678837529.3359962,137,-2.4167678356170654
1678837529.5616992,138,-2.408724069595337
1678837529.7965977,139,-2.39808988571167
1678837529.9793365,140,-2.386521816253662
1678837530.2253811,141,-2.3758320808410645
1678837530.457969,142,-2.3673253059387207
1678837530.6678288,143,-2.3616557121276855
1678837530.91603,144,-2.359126567840576
1678837531.1115377,145,-2.3594775199890137
1678837531.3582704,146,-2.362217426300049
1678837531.6292515,147,-2.3667187690734863
1678837531.874481,148,-2.3722753524780273
1678837532.0604687,149,-2.378303289413452
1678837532.2958357,150,-2.3842854499816895
1678837532.5730104,151,-2.389862537384033
1678837532.7714245,152,-2.3947901725769043
1678837533.0254383,153,-2.3989546298980713
1678837533.2746148,154,-2.402331829071045
1678837533.566183,155,-2.404996395111084
1678837533.8001108,156,-2.4070794582366943
1678837534.0217679,157,-2.408754587173462
1678837534.2490447,158,-2.4102094173431396
1678837534.509919,159,-2.411647319793701
1678837534.8014224,160,-2.412734270095825
1678837535.1192842,161,-2.4125702381134033
1678837535.3125484,162,-2.4099695682525635
1678837535.5278904,163,-2.4041922092437744
1678837535.7551355,164,-2.394833564758301
1678837535.95219,165,-2.381667137145996
1678837536.126744,166,-2.364734649658203
1678837536.3319895,167,-2.3441948890686035
1678837536.5451405,168,-2.320338726043701
1678837536.7741523,169,-2.293668031692505
1678837536.9541655,170,-2.2647149562835693
1678837537.2236671,171,-2.2340612411499023
1678837537.461454,172,-2.202221155166626
1678837537.6364186,173,-2.1696085929870605
1678837537.8621607,174,-2.1365511417388916
1678837538.0697718,175,-2.103254795074463
1678837538.3317602,176,-2.0698487758636475
1678837538.5683532,177,-2.0363879203796387
1678837538.7793102,178,-2.0028812885284424
1678837539.0015264,179,-1.969313621520996
1678837539.20728,180,-1.9356558322906494
1678837539.4209409,181,-1.9018824100494385
1678837539.6701708,182,-1.867968201637268
1678837539.9061086,183,-1.8338472843170166
1678837540.1623766,184,-1.8001368045806885
1678837540.3803775,185,-1.7680857181549072
1678837540.6811383,186,-1.7392356395721436
1678837540.9834967,187,-1.7143723964691162
1678837541.2167342,188,-1.693725824356079
1678837541.521247,189,-1.6773293018341064
1678837541.7829537,190,-1.664832353591919
1678837542.0907063,191,-1.655696153640747
1678837542.4223833,192,-1.6492294073104858
1678837542.6595912,193,-1.6446621417999268
1678837542.8463442,194,-1.6413202285766602
1678837543.00851,195,-1.6386425495147705
1678837543.174334,196,-1.63619863986969
1678837543.3266995,197,-1.6337263584136963
1678837543.4967294,198,-1.6310713291168213
1678837543.6760807,199,-1.6281960010528564
1678837543.869563,200,-1.6251370906829834
1678837544.0397875,201,-1.6219680309295654
1678837544.2086256,202,-1.6188151836395264
1678837544.3717663,203,-1.6153548955917358
1678837544.5530818,204,-1.6109349727630615
1678837544.7232544,205,-1.6051244735717773
1678837544.9145727,206,-1.5982638597488403
1678837545.1672287,207,-1.5912703275680542
1678837545.4150102,208,-1.5852185487747192
1678837545.5855567,209,-1.5809547901153564
1678837545.758273,210,-1.579258680343628
